,City,Lat,Humidity,Wind_Speed,Temp_Max,Cloudiness,Date,Lng,Country
301,tanout,14.97,12.0,8.25,86.13,0.0,1589235892,8.89,NE
302,kiunga,-6.12,98.0,1.28,75.2,100.0,1589235892,141.29,PG
303,yuanping,38.72,39.0,4.23,55.72,0.0,1589235892,112.76,CN
304,bur gabo,,,,,,,,
305,nueva loja,0.08,78.0,2.24,80.6,75.0,1589235892,-76.88,EC
306,salalah,17.02,83.0,3.36,84.2,0.0,1589235892,54.09,OM
307,nanortalik,60.14,66.0,19.66,45.88,100.0,1589235893,-45.24,GL
308,teguise,29.06,68.0,12.75,68.0,20.0,1589235893,-13.56,ES
309,mys shmidta,,,,,,,,
310,northam,51.03,62.0,5.99,46.99,0.0,1589235893,-4.22,GB
311,hofn,64.25,85.0,18.63,35.67,97.0,1589235893,-15.21,IS
312,padang,-0.95,70.0,4.36,78.96,100.0,1589235893,100.35,ID
313,trelew,-43.25,39.0,11.61,55.62,0.0,1589235841,-65.31,AR
314,buritis,-15.62,76.0,3.53,68.36,6.0,1589235894,-46.42,BR
315,saint george,37.1,13.0,29.97,90.0,1.0,1589235894,-113.58,US
316,sturgeon falls,46.36,30.0,8.05,42.01,20.0,1589235894,-79.93,CA
317,east london,-33.02,82.0,11.48,65.48,42.0,1589235894,27.91,ZA
318,burns lake,54.23,28.0,5.55,62.51,0.0,1589235894,-125.75,CA
319,glendive,47.11,29.0,8.05,52.0,20.0,1589235833,-104.71,US
320,yerbogachen,61.28,86.0,5.06,35.6,94.0,1589235895,108.01,RU
321,hambantota,6.12,80.0,4.99,80.8,99.0,1589235895,81.12,LK
322,os,,,,,,,,
323,grand-lahou,5.14,83.0,7.7,77.68,100.0,1589235895,-5.02,CI
324,maldonado,-34.67,76.0,5.82,57.0,84.0,1589235895,-54.92,UY
325,lebork,54.54,79.0,5.82,39.99,40.0,1589235896,17.75,PL
326,murdochville,48.96,71.0,7.11,39.51,60.0,1589235896,-65.5,CA
327,tete,-16.16,72.0,3.71,62.6,0.0,1589235896,33.59,MZ
328,nakamura,32.98,69.0,2.44,66.87,59.0,1589235896,132.93,JP
329,chiang khong,20.26,64.0,0.29,70.0,68.0,1589235896,100.4,TH
330,san patricio,19.22,74.0,11.41,82.4,5.0,1589235896,-104.7,MX
331,cape canaveral,28.41,50.0,14.99,79.0,1.0,1589235715,-80.6,US
332,maxixe,-23.86,74.0,3.42,66.42,20.0,1589235897,35.35,MZ
333,lagoa,39.05,79.0,18.45,61.16,100.0,1589235897,-27.98,PT
334,brae,60.4,71.0,16.11,41.0,100.0,1589235897,-1.35,GB
335,ciudad bolivar,8.12,43.0,13.24,92.23,82.0,1589235810,-63.55,VE
336,high level,58.52,22.0,8.05,57.2,20.0,1589235897,-117.14,CA
337,roma,43.21,70.0,14.99,42.8,90.0,1589235898,-75.46,US
338,mount isa,-20.73,35.0,2.24,55.4,0.0,1589235716,139.5,AU
339,goderich,43.75,68.0,11.36,42.01,56.0,1589235898,-81.72,CA
340,bengkulu,-3.8,85.0,4.29,75.9,62.0,1589235898,102.27,ID
341,saint-leu,-21.15,60.0,6.93,68.0,75.0,1589235898,55.28,RE
342,bamora,24.06,26.0,4.94,86.74,10.0,1589235899,78.09,IN
343,xianyang,34.34,70.0,6.71,60.01,0.0,1589235899,108.7,CN
344,knesselare,51.13,66.0,4.0,45.0,0.0,1589235899,3.46,BE
345,zheleznodorozhnyy,55.75,70.0,6.71,59.0,0.0,1589235899,38.0,RU
346,havelock,34.88,19.0,18.34,72.0,1.0,1589235823,-76.9,US
347,north myrtle beach,33.82,23.0,10.29,73.4,1.0,1589235812,-78.68,US
348,sao raimundo das mangabeiras,-7.02,74.0,4.07,78.17,12.0,1589235780,-45.48,BR
349,othaya,-0.57,94.0,1.86,57.0,99.0,1589235900,36.96,KE
350,souillac,-20.52,60.0,6.93,71.6,75.0,1589235900,57.52,MU
351,grimari,,,,,,,,
352,umm lajj,25.02,47.0,8.66,77.94,1.0,1589235900,37.27,SA
353,deputatskiy,69.3,99.0,3.29,27.55,100.0,1589235900,139.9,RU
354,penzance,50.12,69.0,9.17,51.01,72.0,1589235901,-5.54,GB
355,port augusta,-32.5,70.0,8.05,45.0,65.0,1589235901,137.77,AU
356,pangoa,-12.12,82.0,1.52,77.7,63.0,1589235901,-73.0,PE
357,poum,-20.23,69.0,17.45,75.45,50.0,1589235901,164.02,NC
358,izazi,-7.2,72.0,6.93,66.2,0.0,1589235901,35.73,TZ
359,chabahar,25.29,83.0,8.14,83.12,3.0,1589235902,60.64,IR
360,gornopravdinsk,60.05,77.0,3.06,61.48,98.0,1589235723,69.9,RU
361,namatanai,-3.67,82.0,7.49,82.72,99.0,1589235902,152.43,PG
362,taoudenni,22.68,13.0,10.58,95.49,46.0,1589235902,-3.98,ML
363,la macarena,2.18,90.0,1.36,80.04,97.0,1589235902,-73.78,CO
364,tigil,57.8,67.0,6.89,41.47,0.0,1589235902,158.67,RU
365,tumannyy,,,,,,,,
366,ginir,7.13,93.0,3.02,58.98,42.0,1589235903,40.7,ET
367,auki,-8.77,78.0,7.49,82.58,85.0,1589235903,160.7,SB
368,sao joao da barra,-21.64,78.0,8.05,73.4,0.0,1589235903,-41.05,BR
369,sahuaripa,29.05,10.0,16.37,93.9,81.0,1589235903,-109.23,MX
370,shumskiy,54.83,71.0,2.28,52.77,89.0,1589235665,99.13,RU
371,palu,-0.89,81.0,2.57,76.42,68.0,1589235904,119.87,ID
372,skjervoy,70.03,81.0,26.62,36.0,100.0,1589235904,20.97,NO
373,road town,18.42,62.0,11.41,84.2,20.0,1589235904,-64.62,VG
374,barber,12.28,66.0,20.8,84.2,20.0,1589235904,-69.07,CW
375,kushima,31.46,64.0,21.92,68.0,75.0,1589235904,131.23,JP
376,gijon,43.54,88.0,3.0,57.99,98.0,1589235905,-5.66,ES
377,san rafael del sur,11.85,59.0,7.49,87.26,97.0,1589235905,-86.44,NI
378,pimentel,-6.84,81.0,16.15,70.18,90.0,1589235905,-79.93,PE
379,zastron,-30.3,51.0,1.45,47.95,0.0,1589235905,27.08,ZA
380,cedral,23.8,36.0,14.18,77.61,20.0,1589235905,-100.73,MX
381,sines,37.96,89.0,1.99,60.01,96.0,1589235826,-8.87,PT
382,beringovskiy,63.05,99.0,6.44,31.1,100.0,1589235906,179.32,RU
383,ostrovnoy,68.05,80.0,17.98,41.07,100.0,1589235906,39.51,RU
384,lander,42.83,50.0,6.42,55.0,90.0,1589235906,-108.73,US
385,saskylakh,71.92,97.0,11.54,20.44,98.0,1589235906,114.08,RU
386,alice springs,-23.7,43.0,5.82,50.0,100.0,1589235906,133.88,AU
387,zalantun,48.0,60.0,10.85,43.02,0.0,1589235906,122.72,CN
388,grand gaube,-20.01,67.0,1.99,68.0,100.0,1589235907,57.66,MU
389,roald,62.58,97.0,16.11,36.0,75.0,1589235907,6.13,NO
390,nizhneyansk,,,,,,,,
391,vejle,55.71,74.0,8.05,39.2,0.0,1589235907,9.54,DK
392,thunder bay,48.4,17.0,14.99,48.0,20.0,1589235905,-89.32,CA
393,alta floresta,-9.88,74.0,5.82,84.2,75.0,1589235864,-56.09,BR
394,brigham city,41.51,11.0,18.34,82.4,1.0,1589235808,-112.02,US
395,mikhaylovka,50.06,90.0,4.03,49.95,0.0,1589235908,43.24,RU
396,kavieng,-2.57,72.0,3.65,84.81,99.0,1589235908,150.8,PG
397,uyskoye,54.38,91.0,5.95,58.84,100.0,1589235908,60.0,RU
398,saleaula,,,,,,,,
399,avera,33.19,35.0,12.75,71.6,1.0,1589235908,-82.53,US
400,wajid,3.81,78.0,14.67,77.36,100.0,1589235909,43.25,SO
401,atherton,53.52,71.0,1.01,45.0,3.0,1589235909,-2.49,GB
402,novikovo,51.15,88.0,6.6,53.42,0.0,1589235909,37.89,RU
403,burica,,,,,,,,
404,anderson,34.53,21.0,12.75,70.0,1.0,1589235763,-82.65,US
405,nhulunbuy,-12.23,61.0,13.87,82.4,75.0,1589235910,136.77,AU
406,chimbote,-9.09,76.0,9.8,71.08,16.0,1589235654,-78.58,PE
407,patnos,39.23,71.0,0.54,38.48,0.0,1589235910,42.86,TR
408,nemuro,43.32,88.0,1.36,44.92,0.0,1589235910,145.57,JP
409,omboue,-1.57,86.0,2.91,78.03,4.0,1589235910,9.26,GA
410,tilichiki,60.47,100.0,5.53,31.17,100.0,1589235910,166.1,RU
411,broome,42.25,74.0,13.87,39.99,90.0,1589235911,-75.83,US
412,urengoy,65.97,95.0,7.56,32.83,100.0,1589235911,78.37,RU
413,kaeo,-35.1,40.0,8.01,64.0,100.0,1589235911,173.78,NZ
414,wulanhaote,,,,,,,,
415,kandrian,-6.22,86.0,11.41,80.49,97.0,1589235911,149.55,PG
416,gamba,-2.65,88.0,3.33,77.59,18.0,1589235911,10.0,GA
417,viseu,40.66,2.0,1.01,55.0,74.0,1589235710,-7.91,PT
418,qui nhon,13.77,88.0,3.87,76.1,69.0,1589235912,109.23,VN
419,buckeye,33.37,11.0,10.29,100.99,1.0,1589235912,-112.58,US
420,husavik,66.04,94.0,17.22,32.0,90.0,1589235912,-17.34,IS
421,tarauaca,-8.16,70.0,2.26,83.64,82.0,1589235714,-70.77,BR
422,vao,-22.67,73.0,17.54,73.44,23.0,1589235912,167.48,NC
423,mopti,14.67,39.0,16.11,96.8,20.0,1589235913,-4.0,ML
424,bajo baudo,,,,,,,,
425,tual,-5.67,78.0,17.63,83.1,21.0,1589235913,132.75,ID
426,aksarka,66.56,93.0,11.14,33.46,100.0,1589235913,67.8,RU
427,agadez,19.75,13.0,3.53,80.65,0.0,1589235913,10.25,NE
428,castle rock,39.37,63.0,10.38,53.01,98.0,1589235733,-104.86,US
429,terney,45.05,72.0,2.06,48.27,7.0,1589235914,136.61,RU
430,ucluelet,48.93,93.0,5.82,55.99,90.0,1589235899,-125.55,CA
431,amazar,53.86,73.0,6.98,38.35,52.0,1589235914,120.88,RU
432,esperance,-33.87,93.0,4.7,55.4,75.0,1589235914,121.9,AU
433,vila,42.03,92.0,3.0,55.0,91.0,1589235914,-8.16,PT
434,juneau,58.3,37.0,4.56,63.79,24.0,1589235906,-134.42,US
435,chengde,40.97,50.0,5.3,48.29,0.0,1589235915,117.94,CN
436,tuy hoa,13.08,87.0,3.51,75.52,97.0,1589235915,109.3,VN
437,presidencia roque saenz pena,-26.79,82.0,4.34,70.93,93.0,1589235915,-60.44,AR
438,kitimat,54.05,20.0,14.99,68.0,5.0,1589235915,-128.65,CA
439,makung,,,,,,,,
440,caravelas,-17.71,68.0,4.09,71.8,0.0,1589235915,-39.25,BR
441,tucuman,-26.82,63.0,0.69,66.2,0.0,1589235916,-65.22,AR
442,chagda,,,,,,,,
443,hue,16.47,94.0,2.24,80.6,20.0,1589235916,107.6,VN
444,thinadhoo,0.53,76.0,14.94,85.6,100.0,1589235916,72.93,MV
445,xadani,,,,,,,,
446,lukovetskiy,64.3,66.0,6.71,51.8,40.0,1589235916,41.92,RU
447,erenhot,43.65,45.0,11.9,47.82,0.0,1589235917,111.98,CN
448,toropets,56.5,90.0,10.13,58.68,97.0,1589235917,31.64,RU
449,astoria,46.19,59.0,13.87,60.8,90.0,1589235917,-123.83,US
450,caribou,46.86,33.0,9.17,57.2,75.0,1589235917,-68.01,US
451,aleksandriya,45.09,79.0,8.77,51.8,0.0,1589235917,43.25,RU
452,rungata,,,,,,,,
453,bage,-31.33,82.0,9.17,66.2,72.0,1589235918,-54.11,BR
454,dwarka,22.24,88.0,12.5,80.91,74.0,1589235918,68.97,IN
455,kurayoshi,35.43,63.0,8.05,62.6,77.0,1589235844,133.82,JP
456,mayumba,-3.43,90.0,1.99,78.06,97.0,1589235918,10.66,GA
457,paradwip,,,,,,,,
458,safford,32.83,17.0,4.7,91.4,20.0,1589235919,-109.71,US
459,mae sai,20.43,100.0,3.36,71.6,20.0,1589235919,99.88,TH
460,magadan,59.57,83.0,2.37,36.46,89.0,1589235919,150.8,RU
461,abaetetuba,-1.72,100.0,5.82,75.2,75.0,1589235919,-48.88,BR
462,abu dhabi,24.47,51.0,12.75,86.0,23.0,1589235919,54.37,AE
463,cerro largo,-28.15,69.0,6.93,75.2,75.0,1589235919,-54.74,BR
464,saryshagan,,,,,,,,
465,waddan,29.16,12.0,14.63,85.62,0.0,1589235920,16.14,LY
466,monrovia,6.3,87.0,4.92,79.05,100.0,1589235920,-10.8,LR
467,jiaohe,43.73,81.0,12.44,47.16,100.0,1589235920,127.34,CN
468,saint combs,,,,,,,,
469,vestmannaeyjar,63.44,86.0,19.39,45.25,99.0,1589235920,-20.27,IS
470,tubruq,,,,,,,,
471,macaboboni,,,,,,,,
472,vestmanna,62.16,69.0,12.75,37.4,86.0,1589235921,-7.17,FO
473,ilulissat,69.22,35.0,14.99,55.4,46.0,1589235921,-51.1,GL
474,ruteng,-8.61,100.0,1.63,60.01,6.0,1589235921,120.47,ID
475,ozernovskiy,51.5,90.0,9.26,35.4,46.0,1589235921,156.52,RU
476,panjab,34.39,56.0,2.64,49.42,11.0,1589235922,67.02,AF
477,sehithwa,-20.47,34.0,5.95,60.1,0.0,1589235922,22.72,BW
478,bell ville,-32.63,39.0,5.82,59.9,0.0,1589235922,-62.69,AR
479,qom,34.64,35.0,10.02,66.43,0.0,1589235764,50.88,IR
480,czluchow,53.67,88.0,8.84,37.99,100.0,1589235922,17.36,PL
481,royan,45.63,87.0,11.41,48.2,100.0,1589235922,-1.03,FR
482,port shepstone,-30.74,59.0,10.78,69.26,0.0,1589235923,30.45,ZA
483,tshane,-24.02,36.0,7.18,60.8,0.0,1589235923,21.87,BW
484,kindia,10.06,86.0,3.42,75.78,97.0,1589235923,-12.87,GN
485,ouesso,1.61,83.0,2.28,74.57,40.0,1589235923,16.05,CG
486,praia,14.92,73.0,18.34,73.4,20.0,1589235923,-23.51,CV
487,kalmunai,7.42,84.0,4.03,80.01,94.0,1589235923,81.82,LK
488,arlit,18.74,11.0,9.91,90.46,0.0,1589235924,7.39,NE
489,qaqortoq,60.72,29.0,42.5,50.0,100.0,1589235924,-46.03,GL
490,santa isabel,-23.32,72.0,3.33,73.4,0.0,1589235924,-46.22,BR
491,mehamn,71.04,86.0,39.15,33.8,90.0,1589235924,27.85,NO
492,bonthe,7.53,84.0,5.73,81.32,100.0,1589235924,-12.51,SL
493,anadyr,64.75,94.0,17.9,37.4,40.0,1589235924,177.48,RU
494,chaah,2.25,97.0,2.46,76.1,100.0,1589235925,103.05,MY
495,atar,20.52,15.0,9.24,88.99,61.0,1589235925,-13.05,MR
496,loralai,30.37,24.0,3.69,74.44,76.0,1589235925,68.6,PK
497,oeiras,-7.03,79.0,4.27,76.17,8.0,1589235925,-42.13,BR
498,nexo,55.06,56.0,8.05,42.8,0.0,1589235925,15.13,DK
499,ternate,0.8,78.0,5.26,81.63,14.0,1589235925,127.4,ID
500,bariri,-22.07,47.0,1.12,78.8,0.0,1589235920,-48.74,BR
501,coquimbo,-29.95,82.0,8.05,57.2,38.0,1589235926,-71.34,CL
502,minab,27.15,83.0,4.7,78.8,81.0,1589235926,57.08,IR
503,seoul,37.57,93.0,8.05,53.6,40.0,1589235882,126.98,KR
504,touros,-5.2,83.0,5.82,78.8,20.0,1589235926,-35.46,BR
505,asau,46.43,65.0,4.59,62.01,100.0,1589235926,26.4,RO
506,koshurnikovo,54.17,75.0,2.19,49.14,48.0,1589235723,93.3,RU
507,sarh,9.14,55.0,8.32,87.8,20.0,1589235927,18.39,TD
508,kisesa,-3.08,87.0,6.2,62.11,13.0,1589235927,34.15,TZ
509,akyab,20.15,79.0,5.77,81.23,27.0,1589235927,92.9,MM
510,warqla,,,,,,,,
511,santa maria,-29.68,88.0,4.7,71.6,75.0,1589235927,-53.81,BR
512,aksha,50.28,65.0,4.68,38.1,0.0,1589235928,113.29,RU
513,payo,-3.75,90.0,1.86,73.94,100.0,1589235928,103.64,ID
514,vyazemskiy,47.54,66.0,8.41,52.61,91.0,1589235928,134.75,RU
515,savannah bight,16.45,83.0,16.78,81.32,66.0,1589235928,-85.85,HN
516,buzuluk,52.78,87.0,3.13,48.25,56.0,1589235928,52.26,RU
517,high rock,26.62,74.0,19.46,78.8,75.0,1589235928,-78.28,BS
518,dudinka,69.41,100.0,8.95,30.2,75.0,1589235929,86.18,RU
519,pak phanang,8.35,81.0,4.99,83.03,100.0,1589235929,100.2,TH
520,lichuan,30.3,94.0,1.19,48.76,17.0,1589235929,108.85,CN
521,maues,-3.38,95.0,2.62,77.86,22.0,1589235795,-57.72,BR
522,louisbourg,,,,,,,,
523,aranda de duero,41.67,83.0,3.83,51.33,19.0,1589235929,-3.69,ES
524,dodge city,37.75,86.0,17.22,41.0,90.0,1589235745,-100.02,US
525,severo-yeniseyskiy,60.37,79.0,3.09,50.65,99.0,1589235665,93.04,RU
526,tynda,55.17,79.0,10.36,34.97,58.0,1589235930,124.72,RU
527,melfi,41.0,72.0,18.34,64.4,5.0,1589235930,15.65,IT
528,ancud,-41.87,76.0,3.36,51.01,97.0,1589235930,-73.82,CL
529,smithers,54.78,25.0,6.93,62.6,5.0,1589235931,-127.17,CA
530,svetlyy,54.67,78.0,17.9,35.6,90.0,1589235931,20.13,RU
531,oudtshoorn,-33.59,87.0,3.36,59.0,64.0,1589235931,22.2,ZA
532,fairview,40.81,71.0,9.17,55.4,40.0,1589235881,-74.0,US
533,havoysund,71.0,96.0,26.4,33.8,100.0,1589235931,24.66,NO
534,inta,66.03,82.0,7.18,47.86,100.0,1589235931,60.17,RU
535,waipawa,-41.41,76.0,5.82,57.2,81.0,1589235891,175.52,NZ
536,mrirt,,,,,,,,
537,urdzhar,,,,,,,,
538,villaviciosa,43.48,88.0,3.0,57.0,100.0,1589235932,-5.44,ES
539,margate,51.38,70.0,8.01,46.99,11.0,1589235672,1.39,GB
540,chihuahua,28.5,12.0,13.87,87.8,75.0,1589235695,-106.0,MX
541,hengyang,26.89,74.0,2.08,62.67,1.0,1589235933,112.61,CN
542,kyshtovka,56.55,43.0,1.39,62.8,16.0,1589235933,76.63,RU
543,lufkin,31.34,28.0,9.17,82.4,1.0,1589235933,-94.73,US
544,marsabit,2.33,98.0,16.78,64.85,91.0,1589235933,37.99,KE
545,belousovka,50.13,61.0,2.64,48.2,40.0,1589235933,82.52,KZ
546,klaksvik,62.23,69.0,12.75,37.4,96.0,1589235934,-6.59,FO
547,leshukonskoye,64.9,96.0,7.4,44.47,67.0,1589235934,45.76,RU
548,miles city,46.41,56.0,12.75,44.6,90.0,1589235934,-105.84,US
549,petersburg,37.23,46.0,10.29,62.01,90.0,1589235934,-77.4,US
550,umm kaddadah,13.6,14.0,12.71,82.87,1.0,1589235934,26.69,SD
551,kieta,-6.22,74.0,5.01,83.8,100.0,1589235934,155.63,PG
552,sao lourenco do sul,-31.37,78.0,1.01,63.0,81.0,1589235935,-51.98,BR
553,danjiangkou,32.54,47.0,9.33,56.77,0.0,1589235935,111.51,CN
554,luau,-10.71,66.0,4.7,63.07,3.0,1589235935,22.22,AO
555,point pleasant,40.08,58.0,1.99,59.0,59.0,1589235667,-74.07,US
556,caraballeda,10.61,52.0,10.11,82.99,37.0,1589235935,-66.85,VE
557,mirnyy,62.54,74.0,2.24,30.2,0.0,1589235936,113.96,RU
558,port-cartier,50.03,60.0,11.41,43.0,20.0,1589235936,-66.87,CA
559,grindavik,63.84,93.0,20.8,41.0,90.0,1589235936,-22.43,IS
560,synya,65.37,88.0,6.2,45.68,92.0,1589235936,58.04,RU
561,ormara,25.21,88.0,9.82,80.89,78.0,1589235936,64.64,PK
562,hammerfest,70.66,98.0,26.4,32.0,100.0,1589235936,23.68,NO
563,neepawa,50.23,22.0,11.32,46.4,5.0,1589235937,-99.47,CA
564,tinskoy,56.15,81.0,4.52,53.76,97.0,1589235937,96.92,RU
565,ulladulla,-35.35,71.0,11.41,50.0,19.0,1589235937,150.47,AU
566,rocha,-34.48,74.0,5.77,51.78,84.0,1589235937,-54.33,UY
567,madina,5.68,83.0,10.29,80.6,20.0,1589235937,-0.16,GH
568,otautau,-46.15,88.0,2.73,45.99,49.0,1589235937,168.0,NZ
569,bukama,-9.2,70.0,2.55,68.41,80.0,1589235938,25.85,CD
570,haines junction,60.75,29.0,3.29,65.97,17.0,1589235938,-137.51,CA
571,morros,-9.45,73.0,5.75,75.81,66.0,1589235938,-46.3,BR
572,louis trichardt,-23.04,51.0,3.29,56.59,0.0,1589235938,29.9,ZA
573,biloela,-24.42,74.0,13.27,59.95,31.0,1589235938,150.5,AU
574,calabozo,8.92,34.0,3.18,94.59,70.0,1589235938,-67.43,VE
575,mouzakion,,,,,,,,
576,sola,-13.88,94.0,13.65,78.8,75.0,1589235939,167.55,VU
577,rio grande,-32.03,78.0,1.01,63.0,99.0,1589235939,-52.1,BR
578,dunedin,-45.87,76.0,2.15,57.0,100.0,1589235939,170.5,NZ
579,horta,38.53,78.0,15.57,61.41,100.0,1589235939,-28.63,PT
580,north platte,41.12,60.0,10.29,42.8,90.0,1589235939,-100.77,US
581,okhotsk,59.38,69.0,9.28,40.08,93.0,1589235940,143.3,RU
582,skibbereen,51.55,72.0,6.93,41.0,20.0,1589235940,-9.27,IE
583,umzimvubu,,,,,,,,
584,maceio,-9.67,88.0,3.36,78.8,40.0,1589235940,-35.74,BR
585,mvuma,-19.28,72.0,5.77,51.87,91.0,1589235940,30.53,ZW
586,ariquemes,-9.91,89.0,1.48,77.97,92.0,1589235941,-63.04,BR
587,kapit,2.02,95.0,1.66,75.56,100.0,1589235941,112.93,MY
588,saryg-sep,51.5,48.0,2.1,49.39,100.0,1589235941,95.6,RU
589,kununurra,-15.77,40.0,8.05,71.6,0.0,1589235941,128.73,AU
590,gazanjyk,39.24,53.0,4.27,63.86,33.0,1589235941,55.52,TM
591,gasa,31.5,88.0,1.12,66.99,20.0,1589235941,34.47,PS
592,wahiawa,21.5,57.0,18.34,82.0,75.0,1589235942,-158.02,US
593,celestun,20.87,68.0,21.07,82.08,4.0,1589235942,-90.4,MX
594,yangjiang,21.85,96.0,4.14,74.71,100.0,1589235942,111.97,CN
595,howard springs,-12.5,49.0,8.05,73.99,96.0,1589235942,131.05,AU
596,cedar city,37.68,22.0,25.28,75.2,1.0,1589235830,-113.06,US
597,manzil salim,35.86,48.0,1.12,66.2,0.0,1589235942,8.48,TN
598,hovd,48.01,37.0,0.81,50.23,90.0,1589235943,91.64,MN
599,makakilo city,21.35,57.0,8.05,82.4,75.0,1589235769,-158.09,US
600,tombouctou,20.0,10.0,7.96,93.34,0.0,1589235943,-3.0,ML
601,dalbandin,28.89,21.0,5.75,85.87,3.0,1589235943,64.41,PK
602,sarangani,5.4,77.0,9.01,84.33,88.0,1589235943,125.46,PH
603,pietersburg,-23.9,58.0,3.36,53.6,0.0,1589235943,29.47,ZA
604,meadow lake,34.8,35.0,8.05,73.4,75.0,1589235944,-106.54,US
605,nam tha,,,,,,,,
606,sibolga,1.74,75.0,3.67,78.44,95.0,1589235944,98.78,ID
